column,name,explanation,n,mean,sd,min,max,n_missing,missing_pct,dataset,year
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",19283,0.3588,0.1753,0.0000,1.0000,166,0.8535,ACWF,2000
female,Female (0/1),"1 if respondent is female, 0 if male",19449,0.5437,0.4981,0.0000,1.0000,0,0.0000,ACWF,2000
birthy,Birth year,4-digit year of birth,19449,1960.7654,11.2616,1936.0000,1982.0000,0,0.0000,ACWF,2000
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",19417,0.4646,0.4988,0.0000,1.0000,32,0.1645,ACWF,2000
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),19348,6.4072,3.8295,0.0000,19.0000,101,0.5193,ACWF,2000
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,19426,0.4748,0.4994,0.0000,1.0000,23,0.1183,ACWF,2000
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,19449,100.0000,ACWF,2000
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,19449,100.0000,ACWF,2000
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,19449,100.0000,ACWF,2000
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),17489,5937.9489,12708.2265,0.0000,800000.0000,1960,10.0776,ACWF,2000
log_income,log(1 + income),Natural log of (1+income),17489,7.9726,1.6988,0.0000,13.5924,1960,10.0776,ACWF,2000
