column,name,explanation,n,mean,sd,min,max,n_missing,missing_pct,dataset,year
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",11755,0.4458,0.1671,0.0000,1.0000,10,0.0850,CGSS,2012
female,Female (0/1),"1 if respondent is female, 0 if male",11765,0.4884,0.4999,0.0000,1.0000,0,0.0000,CGSS,2012
birthy,Birth year,4-digit year of birth,11757,1963.1196,16.2234,1920.0000,1995.0000,8,0.0680,CGSS,2012
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",11023,0.4318,0.4954,0.0000,1.0000,742,6.3068,CGSS,2012
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),11763,7.0224,5.0655,0.0000,22.0000,2,0.0170,CGSS,2012
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,11762,0.6382,0.4805,0.0000,1.0000,3,0.0255,CGSS,2012
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,11765,100.0000,CGSS,2012
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,11765,100.0000,CGSS,2012
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,11765,100.0000,CGSS,2012
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),10631,21053.9335,32516.4156,0.0000,1000000.0000,1134,9.6388,CGSS,2012
log_income,log(1 + income),Natural log of (1+income),10631,8.6182,2.9045,0.0000,13.8155,1134,9.6388,CGSS,2012
