column,name,explanation,n,mean,sd,min,max,n_missing,missing_pct,dataset,year
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",8131,0.3946,0.2011,0.0000,1.0000,17,0.2086,CGSS,2021
female,Female (0/1),"1 if respondent is female, 0 if male",8148,0.5485,0.4977,0.0000,1.0000,0,0.0000,CGSS,2021
birthy,Birth year,4-digit year of birth,8148,1969.3563,17.5739,1922.0000,2003.0000,0,0.0000,CGSS,2021
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",8055,0.3989,0.4897,0.0000,1.0000,93,1.1414,CGSS,2021
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),8127,7.6817,5.2722,0.0000,19.0000,21,0.2577,CGSS,2021
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,8148,0.5022,0.5000,0.0000,1.0000,0,0.0000,CGSS,2021
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,8148,100.0000,CGSS,2021
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,8148,100.0000,CGSS,2021
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,8148,100.0000,CGSS,2021
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),7333,51241.0993,332375.6580,0.0000,9999990.0000,815,10.0025,CGSS,2021
log_income,log(1 + income),Natural log of (1+income),7333,8.0820,4.2276,0.0000,16.1181,815,10.0025,CGSS,2021
