column,name,explanation,n,mean,sd,min,max,n_missing,missing_pct,dataset,year
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",23722,0.4438,0.1653,0.0000,1.0000,18,0.0758,ACWF,1990
female,Female (0/1),"1 if respondent is female, 0 if male",23740,0.5255,0.4994,0.0000,1.0000,0,0.0000,ACWF,1990
birthy,Birth year,4-digit year of birth,23740,1952.9670,11.9104,1925.0000,1975.0000,0,0.0000,ACWF,1990
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",23740,0.4923,0.5000,0.0000,1.0000,0,0.0000,ACWF,1990
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),23740,7.4469,4.8275,0.0000,19.0000,0,0.0000,ACWF,1990
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,21015,1.0000,0.0000,1.0000,1.0000,2725,11.4785,ACWF,1990
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,23740,100.0000,ACWF,1990
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,23740,100.0000,ACWF,1990
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,23740,100.0000,ACWF,1990
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),11213,176.5977,182.8816,0.0000,6666.0000,12527,52.7675,ACWF,1990
log_income,log(1 + income),Natural log of (1+income),11213,4.8961,1.0322,0.0000,8.8049,12527,52.7675,ACWF,1990
