column,name,explanation,n,mean,sd,min,max,n_missing,missing_pct,dataset,year
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",11424,0.4494,0.1701,0.0000,1.0000,14,0.1224,CGSS,2013
female,Female (0/1),"1 if respondent is female, 0 if male",11438,0.4968,0.5000,0.0000,1.0000,0,0.0000,CGSS,2013
birthy,Birth year,4-digit year of birth,11434,1964.4151,16.3723,1920.0000,1996.0000,4,0.0350,CGSS,2013
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",10989,0.4237,0.4942,0.0000,1.0000,449,3.9255,CGSS,2013
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),11435,7.1242,5.0866,0.0000,22.0000,3,0.0262,CGSS,2013
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,11436,0.6257,0.4840,0.0000,1.0000,2,0.0175,CGSS,2013
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,11438,100.0000,CGSS,2013
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,11438,100.0000,CGSS,2013
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,11438,100.0000,CGSS,2013
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),10243,23814.4280,36753.2642,0.0000,1000000.0000,1195,10.4476,CGSS,2013
log_income,log(1 + income),Natural log of (1+income),10243,8.5164,3.2578,0.0000,13.8155,1195,10.4476,CGSS,2013
