column,name,explanation,n,mean,sd,min,max,n_missing,missing_pct,dataset,year
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",22692,0.5348,0.1992,0.0000,1.0000,5838,20.4627,CFPS,2020
female,Female (0/1),"1 if respondent is female, 0 if male",28530,0.5009,0.5000,0.0000,1.0000,0,0.0000,CFPS,2020
birthy,Birth year,4-digit year of birth,27104,1975.2141,19.5144,1920.0000,2010.0000,1426,4.9982,CFPS,2020
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",22919,0.2809,0.4495,0.0000,1.0000,5611,19.6670,CFPS,2020
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),27244,8.3194,4.8493,0.0000,22.0000,1286,4.5075,CFPS,2020
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,18196,0.9847,0.1227,0.0000,1.0000,10334,36.2215,CFPS,2020
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,2185,35.6165,15.4862,20.0000,90.0000,26345,92.3414,CFPS,2020
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,28530,100.0000,CFPS,2020
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,28530,100.0000,CFPS,2020
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),10274,45752.8311,45644.2768,0.0000,1000000.0000,18256,63.9888,CFPS,2020
log_income,log(1 + income),Natural log of (1+income),10274,10.1432,1.7789,0.0000,13.8155,18256,63.9888,CFPS,2020
